Date,Device Category,Sessions
2014-10-31,desktop,3139991
2014-11-01,desktop,2056556
2014-11-02,desktop,1956762
2014-11-03,desktop,4280287
2014-11-04,desktop,4230217
2014-11-05,desktop,4119719
2014-11-06,desktop,4094509
2014-11-07,desktop,3614971
2014-11-08,desktop,2004455
2014-11-09,desktop,2206184
2014-11-10,desktop,4266788
2014-11-11,desktop,3486593
2014-11-12,desktop,4284008
2014-11-13,desktop,4118923
2014-11-14,desktop,3555375
2014-11-15,desktop,1680704
2014-11-16,desktop,2283414
2014-11-17,desktop,4189122
2014-11-18,desktop,4249602
2014-11-19,desktop,4084624
2014-11-20,desktop,3996804
2014-11-21,desktop,3511997
2014-11-22,desktop,1912283
2014-11-23,desktop,2144884
2014-11-24,desktop,4264027
2014-11-25,desktop,3157854
2014-11-26,desktop,2466001
2014-11-27,desktop,1484021
2014-11-28,desktop,2013172
2014-11-29,desktop,1775023
2014-11-30,desktop,2219523
2014-12-01,desktop,4413432
2014-12-02,desktop,4474800
2014-12-03,desktop,4093653
2014-12-04,desktop,3831387
2014-12-05,desktop,3705641
2014-12-06,desktop,1605435
2014-12-07,desktop,1189038
2014-12-08,desktop,3562479
2014-12-09,desktop,2890737
2014-12-10,desktop,3036024
2014-12-11,desktop,3067597
2014-12-12,desktop,2884553
2014-12-13,desktop,1511424
2014-12-14,desktop,807850
2014-12-15,desktop,3734534
2014-12-16,desktop,3894335
2014-12-17,desktop,3780741
2014-12-18,desktop,3353724
2014-12-19,desktop,2885891
2014-12-20,desktop,1449794
2014-12-21,desktop,1400139
2014-12-22,desktop,3098656
2014-12-23,desktop,2603308
2014-12-24,desktop,1739202
2014-12-25,desktop,1269691
2014-12-26,desktop,2183553
2014-12-27,desktop,1658026
2014-12-28,desktop,1417429
2014-12-29,desktop,3399949
2014-12-30,desktop,3329290
2014-12-31,desktop,2137488
2015-01-01,desktop,1440484
2015-01-02,desktop,3072966
2015-01-03,desktop,2009067
2015-01-04,desktop,1888048
2015-01-05,desktop,4487383
2015-01-06,desktop,4337064
2015-01-07,desktop,4420607
2015-01-08,desktop,4214242
2015-01-09,desktop,3617829
2015-01-10,desktop,1999438
2015-01-11,desktop,2314286
2015-01-12,desktop,4385598
2015-01-13,desktop,4210542
2015-01-14,desktop,3635235
2015-01-15,desktop,2737784
2015-01-16,desktop,2345115
2015-01-17,desktop,833387
2015-01-18,desktop,1022026
2015-01-19,desktop,1869926
2015-01-20,desktop,2761091
2015-01-21,desktop,2785494
2015-01-22,desktop,2548136
2015-01-23,desktop,2409099
2015-01-24,desktop,851132
2015-01-25,desktop,1052634
2015-01-26,desktop,3007327
2015-01-27,desktop,2886446
2015-01-28,desktop,2805989
2015-01-29,desktop,2592353
2015-01-30,desktop,2259708
2015-01-31,desktop,804357
2015-02-01,desktop,913428
2015-02-02,desktop,2752661
2015-02-03,desktop,2692443
2015-02-04,desktop,2916662
2015-02-05,desktop,2717163
2015-02-06,desktop,2134273
2015-02-07,desktop,960945
2015-02-08,desktop,1061844
2015-02-09,desktop,2651083
2015-02-10,desktop,3027559
2015-02-11,desktop,2920286
2015-02-12,desktop,2669451
2015-02-13,desktop,2015775
2015-02-14,desktop,779609
2015-02-15,desktop,999698
2015-02-16,desktop,1601750
2015-02-17,desktop,3026238
2015-02-18,desktop,2813669
2015-02-19,desktop,2477176
2015-02-20,desktop,2336697
2015-02-21,desktop,1010467
2015-02-22,desktop,916661
2015-02-23,desktop,2856233
2015-02-24,desktop,2824656
2015-02-25,desktop,2831238
2015-02-26,desktop,2823740
2015-02-27,desktop,2345942
2015-02-28,desktop,1089160
2015-03-01,desktop,1205673
2015-03-02,desktop,3012724
2015-03-03,desktop,2798555
2015-03-04,desktop,2727418
2015-03-05,desktop,2515507
2015-03-06,desktop,1920706
2015-03-07,desktop,757466
2015-03-08,desktop,885426
2015-03-09,desktop,2703461
2015-03-10,desktop,2410589
2015-03-11,desktop,2505424
2015-03-12,desktop,2218624
2015-03-13,desktop,2179979
2015-03-14,desktop,797407
2015-03-15,desktop,991621
2015-03-16,desktop,2619421
2015-03-17,desktop,2542112
2015-03-18,desktop,2796338
